
================================================================================
FAST MODBUS RTU SCAN
================================================================================

FUNCTION CODE 3

FC=3  REG=14352 RAW=1      BIN=0000000000000001
FC=3  REG=14353 RAW=1      BIN=0000000000000001
FC=3  REG=14354 RAW=1      BIN=0000000000000001
FC=3  REG=14355 RAW=1      BIN=0000000000000001
FC=3  REG=14356 RAW=1      BIN=0000000000000001
FC=3  REG=14357 RAW=1      BIN=0000000000000001
FC=3  REG=14358 RAW=1      BIN=0000000000000001
FC=3  REG=14359 RAW=1      BIN=0000000000000001
FC=3  REG=14360 RAW=1      BIN=0000000000000001
FC=3  REG=14361 RAW=1      BIN=0000000000000001
FC=3  REG=14362 RAW=1      BIN=0000000000000001
FC=3  REG=14363 RAW=1      BIN=0000000000000001
FC=3  REG=14364 RAW=1      BIN=0000000000000001
FC=3  REG=14365 RAW=1      BIN=0000000000000001
FC=3  REG=14366 RAW=1      BIN=0000000000000001
FC=3  REG=14367 RAW=1      BIN=0000000000000001
FC=3  REG=14368 RAW=1      BIN=0000000000000001
FC=3  REG=14369 RAW=1      BIN=0000000000000001
FC=3  REG=14370 RAW=1      BIN=0000000000000001
FC=3  REG=14371 RAW=1      BIN=0000000000000001
FC=3  REG=14372 RAW=1      BIN=0000000000000001
FC=3  REG=14373 RAW=1      BIN=0000000000000001
FC=3  REG=14374 RAW=1      BIN=0000000000000001
FC=3  REG=14375 RAW=1      BIN=0000000000000001
FC=3  REG=14376 RAW=1      BIN=0000000000000001
FC=3  REG=14377 RAW=1      BIN=0000000000000001
FC=3  REG=14378 RAW=1      BIN=0000000000000001
FC=3  REG=14379 RAW=1      BIN=0000000000000001
FC=3  REG=14380 RAW=1      BIN=0000000000000001
FC=3  REG=14381 RAW=1      BIN=0000000000000001
FC=3  REG=14382 RAW=1      BIN=0000000000000001
FC=3  REG=14383 RAW=1      BIN=0000000000000001
FC=3  REG=14384 RAW=1      BIN=0000000000000001
FC=3  REG=14385 RAW=1      BIN=0000000000000001
FC=3  REG=14386 RAW=1      BIN=0000000000000001
FC=3  REG=14387 RAW=1      BIN=0000000000000001
FC=3  REG=14388 RAW=1      BIN=0000000000000001
FC=3  REG=14389 RAW=1      BIN=0000000000000001
FC=3  REG=14390 RAW=1      BIN=0000000000000001
FC=3  REG=14391 RAW=1      BIN=0000000000000001
FC=3  REG=14392 RAW=1      BIN=0000000000000001
FC=3  REG=14393 RAW=1      BIN=0000000000000001
FC=3  REG=14394 RAW=1      BIN=0000000000000001
FC=3  REG=14395 RAW=1      BIN=0000000000000001
FC=3  REG=14396 RAW=1      BIN=0000000000000001
FC=3  REG=14592 RAW=3841   BIN=0000111100000001
FC=3  REG=14593 RAW=3841   BIN=0000111100000001
FC=3  REG=14594 RAW=3841   BIN=0000111100000001
FC=3  REG=14595 RAW=3841   BIN=0000111100000001
FC=3  REG=14596 RAW=3841   BIN=0000111100000001
FC=3  REG=14597 RAW=3841   BIN=0000111100000001
FC=3  REG=14598 RAW=3841   BIN=0000111100000001
FC=3  REG=14599 RAW=3841   BIN=0000111100000001
FC=3  REG=14600 RAW=3841   BIN=0000111100000001
FC=3  REG=14601 RAW=3841   BIN=0000111100000001
FC=3  REG=14602 RAW=3841   BIN=0000111100000001
FC=3  REG=14603 RAW=3841   BIN=0000111100000001
FC=3  REG=14604 RAW=3841   BIN=0000111100000001
FC=3  REG=14605 RAW=3841   BIN=0000111100000001
FC=3  REG=14606 RAW=3841   BIN=0000111100000001
FC=3  REG=14607 RAW=3841   BIN=0000111100000001
FC=3  REG=14608 RAW=3841   BIN=0000111100000001
FC=3  REG=14609 RAW=3841   BIN=0000111100000001
FC=3  REG=14610 RAW=3841   BIN=0000111100000001
FC=3  REG=14611 RAW=3841   BIN=0000111100000001
FC=3  REG=14612 RAW=3841   BIN=0000111100000001
FC=3  REG=14613 RAW=3841   BIN=0000111100000001
FC=3  REG=14614 RAW=3841   BIN=0000111100000001
FC=3  REG=14615 RAW=3841   BIN=0000111100000001
FC=3  REG=14616 RAW=3841   BIN=0000111100000001
FC=3  REG=14617 RAW=3841   BIN=0000111100000001
FC=3  REG=14618 RAW=3841   BIN=0000111100000001
FC=3  REG=14619 RAW=3841   BIN=0000111100000001
FC=3  REG=14620 RAW=3841   BIN=0000111100000001
FC=3  REG=14621 RAW=3841   BIN=0000111100000001
FC=3  REG=14622 RAW=3841   BIN=0000111100000001
FC=3  REG=14623 RAW=3841   BIN=0000111100000001
FC=3  REG=14624 RAW=3841   BIN=0000111100000001
FC=3  REG=14625 RAW=3841   BIN=0000111100000001
FC=3  REG=14626 RAW=3841   BIN=0000111100000001
FC=3  REG=14627 RAW=3841   BIN=0000111100000001
FC=3  REG=14628 RAW=3841   BIN=0000111100000001
FC=3  REG=14629 RAW=3841   BIN=0000111100000001
FC=3  REG=14630 RAW=3841   BIN=0000111100000001
FC=3  REG=14631 RAW=3841   BIN=0000111100000001
FC=3  REG=14632 RAW=3841   BIN=0000111100000001
FC=3  REG=14633 RAW=3841   BIN=0000111100000001
FC=3  REG=14634 RAW=3841   BIN=0000111100000001
FC=3  REG=14635 RAW=3841   BIN=0000111100000001
FC=3  REG=14636 RAW=3841   BIN=0000111100000001
FC=3  REG=14637 RAW=3841   BIN=0000111100000001
FC=3  REG=14638 RAW=3841   BIN=0000111100000001
FC=3  REG=14639 RAW=3841   BIN=0000111100000001
FC=3  REG=14640 RAW=3841   BIN=0000111100000001
FC=3  REG=14641 RAW=3841   BIN=0000111100000001
FC=3  REG=14642 RAW=3841   BIN=0000111100000001
FC=3  REG=14643 RAW=3841   BIN=0000111100000001
FC=3  REG=14644 RAW=3841   BIN=0000111100000001
FC=3  REG=14645 RAW=3841   BIN=0000111100000001
FC=3  REG=14646 RAW=3841   BIN=0000111100000001
FC=3  REG=14647 RAW=3841   BIN=0000111100000001
FC=3  REG=14648 RAW=3841   BIN=0000111100000001
FC=3  REG=14649 RAW=3841   BIN=0000111100000001
FC=3  REG=14650 RAW=3841   BIN=0000111100000001
FC=3  REG=14651 RAW=3841   BIN=0000111100000001
FC=3  REG=14652 RAW=3841   BIN=0000111100000001
FC=3  REG=14653 RAW=3841   BIN=0000111100000001
FC=3  REG=14654 RAW=3841   BIN=0000111100000001
FC=3  REG=14655 RAW=3841   BIN=0000111100000001
FC=3  REG=14656 RAW=3841   BIN=0000111100000001
FC=3  REG=14657 RAW=3841   BIN=0000111100000001
FC=3  REG=14658 RAW=3841   BIN=0000111100000001
FC=3  REG=14659 RAW=3841   BIN=0000111100000001
FC=3  REG=14660 RAW=3841   BIN=0000111100000001
FC=3  REG=14848 RAW=1      BIN=0000000000000001
FC=3  REG=14849 RAW=1      BIN=0000000000000001
FC=3  REG=14850 RAW=1      BIN=0000000000000001
FC=3  REG=14851 RAW=1      BIN=0000000000000001
FC=3  REG=14852 RAW=1      BIN=0000000000000001
FC=3  REG=14853 RAW=1      BIN=0000000000000001
FC=3  REG=14854 RAW=1      BIN=0000000000000001
FC=3  REG=14855 RAW=1      BIN=0000000000000001
FC=3  REG=14856 RAW=1      BIN=0000000000000001
FC=3  REG=14857 RAW=1      BIN=0000000000000001
FC=3  REG=14858 RAW=1      BIN=0000000000000001
FC=3  REG=14859 RAW=1      BIN=0000000000000001
FC=3  REG=14860 RAW=1      BIN=0000000000000001
FC=3  REG=14861 RAW=1      BIN=0000000000000001
FC=3  REG=14862 RAW=1      BIN=0000000000000001
FC=3  REG=14863 RAW=1      BIN=0000000000000001
